User_ID,Segment,Primary_Need,Preferred_Device,Budget_INR,Location
1,Commuter,Battery Life,Smartphone Mount,4163,Bangalore
2,Enthusiast/Pro,Stabilization,360 Cam,39092,Chennai
3,Fitness/Recreational,Social Sharing,Mid-range Action Cam,7421,Pune
4,Fitness/Recreational,Scenery,360 Cam,11609,Pune
5,Commuter,Safety/Dashcam,Smartphone Mount,4142,Mumbai
6,Commuter,Evidence,Smartphone Mount,546,Pune
7,Commuter,Evidence,Smartphone Mount,900,Mumbai
8,Enthusiast/Pro,Stabilization,High-end Action Cam,39541,Chennai
9,Fitness/Recreational,Scenery,Smartphone Mount,9430,Tier-2 City
10,Fitness/Recreational,Social Sharing,Mid-range Action Cam,16122,Tier-2 City
11,Commuter,Evidence,Smartphone Mount,2000,Chennai
12,Enthusiast/Pro,Image Quality,360 Cam,38803,Chennai
13,Fitness/Recreational,Ease of Use,Smartphone Mount,6466,Delhi
14,Commuter,Evidence,Smartphone Mount,1682,Chennai
15,Commuter,Battery Life,Smartphone Mount,630,Pune
16,Commuter,Safety/Dashcam,Smartphone Mount,4778,Tier-2 City
17,Commuter,Battery Life,Smartphone Mount,4459,Bangalore
18,Fitness/Recreational,Social Sharing,Mid-range Action Cam,5920,Tier-2 City
19,Commuter,Safety/Dashcam,Smartphone Mount,4611,Mumbai
20,Commuter,Safety/Dashcam,Smartphone Mount,4021,Tier-2 City
21,Fitness/Recreational,Ease of Use,Smartphone Mount,5545,Delhi
22,Commuter,Evidence,Smartphone Mount,2304,Chennai
23,Commuter,Safety/Dashcam,Smartphone Mount,4310,Chennai
24,Commuter,Battery Life,Budget Action Cam,4624,Tier-2 City
25,Commuter,Evidence,Smartphone Mount,4913,Bangalore
26,Fitness/Recreational,Social Sharing,Smartphone Mount,5271,Bangalore
27,Commuter,Battery Life,Smartphone Mount,1420,Delhi
28,Fitness/Recreational,Ease of Use,Smartphone Mount,17676,Mumbai
29,Fitness/Recreational,Social Sharing,Smartphone Mount,7050,Tier-2 City
30,Commuter,Safety/Dashcam,Smartphone Mount,2533,Chennai
31,Fitness/Recreational,Scenery,Smartphone Mount,12832,Tier-2 City
32,Commuter,Safety/Dashcam,Budget Action Cam,3132,Delhi
33,Commuter,Battery Life,Smartphone Mount,1463,Pune
34,Enthusiast/Pro,Stabilization,Drone,46684,Pune
35,Enthusiast/Pro,Data Overlay,High-end Action Cam,24805,Delhi
36,Fitness/Recreational,Ease of Use,Mid-range Action Cam,18613,Chennai
37,Commuter,Battery Life,Budget Action Cam,1384,Delhi
38,Commuter,Battery Life,Smartphone Mount,3901,Chennai
39,Fitness/Recreational,Ease of Use,Smartphone Mount,7265,Bangalore
40,Commuter,Safety/Dashcam,Smartphone Mount,4345,Delhi
41,Commuter,Safety/Dashcam,Smartphone Mount,1226,Chennai
42,Commuter,Safety/Dashcam,Smartphone Mount,2413,Delhi
43,Commuter,Safety/Dashcam,Smartphone Mount,2966,Delhi
44,Enthusiast/Pro,Image Quality,High-end Action Cam,43696,Chennai
45,Commuter,Battery Life,Budget Action Cam,4569,Chennai
46,Fitness/Recreational,Social Sharing,Smartphone Mount,15222,Mumbai
47,Commuter,Safety/Dashcam,Smartphone Mount,2433,Delhi
48,Fitness/Recreational,Social Sharing,Smartphone Mount,6640,Pune
49,Fitness/Recreational,Ease of Use,Smartphone Mount,6218,Delhi
50,Commuter,Safety/Dashcam,Budget Action Cam,4765,Delhi
51,Enthusiast/Pro,Data Overlay,High-end Action Cam,29752,Chennai
52,Fitness/Recreational,Social Sharing,Mid-range Action Cam,14175,Delhi
53,Enthusiast/Pro,Stabilization,High-end Action Cam,41754,Tier-2 City
54,Enthusiast/Pro,Data Overlay,High-end Action Cam,29105,Delhi
55,Fitness/Recreational,Scenery,360 Cam,14903,Tier-2 City
56,Enthusiast/Pro,Data Overlay,360 Cam,41452,Pune
57,Commuter,Safety/Dashcam,Smartphone Mount,1824,Chennai
58,Commuter,Evidence,Smartphone Mount,3245,Delhi
59,Commuter,Battery Life,Smartphone Mount,4430,Tier-2 City
60,Commuter,Safety/Dashcam,Smartphone Mount,1785,Tier-2 City
61,Commuter,Battery Life,Budget Action Cam,2639,Tier-2 City
62,Commuter,Safety/Dashcam,Smartphone Mount,2204,Bangalore
63,Fitness/Recreational,Social Sharing,Mid-range Action Cam,14908,Mumbai
64,Commuter,Evidence,Smartphone Mount,4238,Pune
65,Commuter,Evidence,Smartphone Mount,1056,Delhi
66,Fitness/Recreational,Scenery,Smartphone Mount,10150,Bangalore
67,Commuter,Battery Life,Smartphone Mount,3219,Delhi
68,Fitness/Recreational,Ease of Use,Smartphone Mount,14766,Delhi
69,Commuter,Battery Life,Smartphone Mount,3829,Chennai
70,Enthusiast/Pro,Image Quality,360 Cam,46123,Chennai
71,Fitness/Recreational,Ease of Use,Smartphone Mount,18836,Chennai
72,Commuter,Evidence,Smartphone Mount,2564,Bangalore
73,Commuter,Battery Life,Smartphone Mount,1507,Delhi
74,Fitness/Recreational,Scenery,Smartphone Mount,16718,Mumbai
75,Fitness/Recreational,Scenery,Smartphone Mount,18281,Pune
76,Fitness/Recreational,Ease of Use,Smartphone Mount,7382,Chennai
77,Fitness/Recreational,Scenery,Mid-range Action Cam,5277,Chennai
78,Commuter,Evidence,Budget Action Cam,1540,Delhi
79,Commuter,Evidence,Budget Action Cam,1385,Delhi
80,Commuter,Safety/Dashcam,Smartphone Mount,3691,Bangalore
81,Enthusiast/Pro,Stabilization,360 Cam,43821,Bangalore
82,Fitness/Recreational,Ease of Use,360 Cam,16939,Chennai
83,Commuter,Battery Life,Smartphone Mount,2928,Delhi
84,Commuter,Battery Life,Smartphone Mount,3604,Mumbai
85,Commuter,Evidence,Smartphone Mount,4499,Pune
86,Commuter,Battery Life,Smartphone Mount,4109,Delhi
87,Fitness/Recreational,Scenery,Smartphone Mount,8356,Delhi
88,Fitness/Recreational,Social Sharing,Smartphone Mount,5038,Tier-2 City
89,Enthusiast/Pro,Stabilization,360 Cam,30396,Bangalore
90,Commuter,Battery Life,Smartphone Mount,3701,Pune
91,Commuter,Battery Life,Smartphone Mount,3593,Chennai
92,Fitness/Recreational,Ease of Use,Smartphone Mount,7896,Delhi
93,Fitness/Recreational,Scenery,Smartphone Mount,5988,Chennai
94,Fitness/Recreational,Social Sharing,360 Cam,18156,Delhi
95,Fitness/Recreational,Ease of Use,360 Cam,6682,Chennai
96,Commuter,Safety/Dashcam,Smartphone Mount,4463,Pune
97,Fitness/Recreational,Scenery,Smartphone Mount,6980,Bangalore
98,Commuter,Battery Life,Smartphone Mount,1292,Pune
99,Commuter,Evidence,Budget Action Cam,2755,Tier-2 City
100,Commuter,Battery Life,Budget Action Cam,1484,Mumbai
101,Commuter,Safety/Dashcam,Smartphone Mount,1019,Bangalore
102,Fitness/Recreational,Ease of Use,Smartphone Mount,8633,Pune
103,Commuter,Battery Life,Smartphone Mount,1459,Tier-2 City
104,Fitness/Recreational,Social Sharing,360 Cam,9473,Mumbai
105,Enthusiast/Pro,Stabilization,High-end Action Cam,20526,Tier-2 City
106,Commuter,Safety/Dashcam,Smartphone Mount,3844,Delhi
107,Commuter,Evidence,Smartphone Mount,2263,Delhi
108,Fitness/Recreational,Social Sharing,Smartphone Mount,14208,Chennai
109,Commuter,Battery Life,Smartphone Mount,616,Bangalore
110,Commuter,Evidence,Budget Action Cam,894,Delhi
111,Commuter,Safety/Dashcam,Smartphone Mount,4360,Tier-2 City
112,Commuter,Evidence,Smartphone Mount,4933,Bangalore
113,Enthusiast/Pro,Image Quality,Drone,28357,Delhi
114,Fitness/Recreational,Ease of Use,Mid-range Action Cam,7043,Chennai
115,Fitness/Recreational,Scenery,360 Cam,5778,Pune
116,Enthusiast/Pro,Image Quality,360 Cam,29768,Chennai
117,Fitness/Recreational,Social Sharing,Smartphone Mount,8117,Mumbai
118,Commuter,Battery Life,Smartphone Mount,3220,Delhi
119,Enthusiast/Pro,Image Quality,360 Cam,48913,Mumbai
120,Fitness/Recreational,Social Sharing,Mid-range Action Cam,16040,Mumbai
121,Fitness/Recreational,Social Sharing,Smartphone Mount,11732,Tier-2 City
122,Enthusiast/Pro,Image Quality,High-end Action Cam,30433,Bangalore
123,Commuter,Evidence,Smartphone Mount,2209,Tier-2 City
124,Commuter,Evidence,Budget Action Cam,3541,Delhi
125,Commuter,Evidence,Smartphone Mount,2395,Mumbai
126,Commuter,Battery Life,Smartphone Mount,1134,Pune
127,Fitness/Recreational,Scenery,Mid-range Action Cam,8144,Mumbai
128,Enthusiast/Pro,Stabilization,360 Cam,20552,Pune
129,Commuter,Evidence,Budget Action Cam,4411,Tier-2 City
130,Fitness/Recreational,Scenery,Mid-range Action Cam,14299,Tier-2 City
131,Commuter,Evidence,Smartphone Mount,2930,Bangalore
132,Commuter,Battery Life,Smartphone Mount,707,Mumbai
133,Commuter,Evidence,Budget Action Cam,909,Chennai
134,Commuter,Battery Life,Smartphone Mount,4609,Tier-2 City
135,Enthusiast/Pro,Stabilization,360 Cam,27179,Tier-2 City
136,Commuter,Battery Life,Smartphone Mount,2060,Bangalore
137,Fitness/Recreational,Social Sharing,Mid-range Action Cam,8638,Pune
138,Fitness/Recreational,Scenery,Smartphone Mount,6927,Bangalore
139,Commuter,Safety/Dashcam,Budget Action Cam,2835,Mumbai
140,Enthusiast/Pro,Stabilization,High-end Action Cam,30181,Delhi
141,Enthusiast/Pro,Image Quality,360 Cam,24644,Delhi
142,Commuter,Safety/Dashcam,Smartphone Mount,3471,Pune
143,Commuter,Evidence,Smartphone Mount,852,Tier-2 City
144,Commuter,Battery Life,Smartphone Mount,658,Pune
145,Commuter,Evidence,Budget Action Cam,903,Tier-2 City
146,Commuter,Safety/Dashcam,Smartphone Mount,1887,Tier-2 City
147,Fitness/Recreational,Scenery,360 Cam,11295,Delhi
148,Fitness/Recreational,Scenery,Mid-range Action Cam,9703,Pune
149,Commuter,Safety/Dashcam,Smartphone Mount,4311,Bangalore
150,Commuter,Evidence,Smartphone Mount,3479,Tier-2 City
151,Enthusiast/Pro,Image Quality,360 Cam,49426,Chennai
152,Commuter,Battery Life,Smartphone Mount,4214,Chennai
153,Commuter,Safety/Dashcam,Smartphone Mount,3458,Bangalore
154,Commuter,Safety/Dashcam,Smartphone Mount,4091,Chennai
155,Enthusiast/Pro,Image Quality,High-end Action Cam,29131,Mumbai
156,Commuter,Evidence,Budget Action Cam,874,Tier-2 City
157,Fitness/Recreational,Social Sharing,Mid-range Action Cam,16244,Bangalore
158,Fitness/Recreational,Social Sharing,Smartphone Mount,19139,Pune
159,Commuter,Safety/Dashcam,Smartphone Mount,2778,Tier-2 City
160,Fitness/Recreational,Social Sharing,Mid-range Action Cam,8814,Bangalore
161,Commuter,Evidence,Smartphone Mount,4428,Delhi
162,Fitness/Recreational,Social Sharing,Smartphone Mount,14444,Pune
163,Fitness/Recreational,Social Sharing,Smartphone Mount,10543,Delhi
164,Fitness/Recreational,Social Sharing,Smartphone Mount,11430,Tier-2 City
165,Commuter,Battery Life,Budget Action Cam,1129,Pune
166,Fitness/Recreational,Scenery,Smartphone Mount,10724,Chennai
167,Commuter,Evidence,Smartphone Mount,3932,Bangalore
168,Commuter,Safety/Dashcam,Smartphone Mount,2860,Tier-2 City
169,Commuter,Evidence,Smartphone Mount,3692,Mumbai
170,Fitness/Recreational,Ease of Use,Mid-range Action Cam,11116,Pune
171,Fitness/Recreational,Social Sharing,Mid-range Action Cam,14847,Pune
172,Commuter,Battery Life,Budget Action Cam,1119,Tier-2 City
173,Fitness/Recreational,Ease of Use,Smartphone Mount,8953,Tier-2 City
174,Commuter,Evidence,Smartphone Mount,1816,Delhi
175,Fitness/Recreational,Scenery,Smartphone Mount,11262,Chennai
176,Commuter,Battery Life,Smartphone Mount,4328,Delhi
177,Fitness/Recreational,Ease of Use,Smartphone Mount,14200,Delhi
178,Commuter,Battery Life,Smartphone Mount,775,Chennai
179,Enthusiast/Pro,Data Overlay,High-end Action Cam,25370,Mumbai
180,Commuter,Battery Life,Smartphone Mount,4812,Delhi
181,Commuter,Evidence,Budget Action Cam,3749,Delhi
182,Commuter,Battery Life,Smartphone Mount,4423,Pune
183,Enthusiast/Pro,Stabilization,High-end Action Cam,32595,Chennai
184,Enthusiast/Pro,Image Quality,High-end Action Cam,24470,Bangalore
185,Commuter,Evidence,Smartphone Mount,1514,Mumbai
186,Fitness/Recreational,Social Sharing,Smartphone Mount,9612,Mumbai
187,Fitness/Recreational,Ease of Use,Smartphone Mount,17065,Chennai
188,Fitness/Recreational,Social Sharing,Mid-range Action Cam,15666,Tier-2 City
189,Fitness/Recreational,Scenery,Smartphone Mount,17241,Tier-2 City
190,Commuter,Safety/Dashcam,Budget Action Cam,802,Pune
191,Commuter,Safety/Dashcam,Smartphone Mount,2363,Pune
192,Enthusiast/Pro,Data Overlay,360 Cam,23072,Chennai
193,Enthusiast/Pro,Stabilization,Drone,33965,Pune
194,Fitness/Recreational,Social Sharing,Mid-range Action Cam,15600,Mumbai
195,Commuter,Evidence,Smartphone Mount,4533,Mumbai
196,Commuter,Evidence,Smartphone Mount,1074,Bangalore
197,Fitness/Recreational,Social Sharing,Mid-range Action Cam,10208,Tier-2 City
198,Enthusiast/Pro,Data Overlay,360 Cam,39614,Chennai
199,Enthusiast/Pro,Data Overlay,High-end Action Cam,48257,Delhi
200,Fitness/Recreational,Social Sharing,Mid-range Action Cam,6667,Tier-2 City
201,Fitness/Recreational,Scenery,Smartphone Mount,8553,Delhi
202,Commuter,Evidence,Budget Action Cam,1350,Bangalore
203,Commuter,Safety/Dashcam,Budget Action Cam,1867,Bangalore
204,Enthusiast/Pro,Image Quality,High-end Action Cam,46200,Pune
205,Fitness/Recreational,Social Sharing,Smartphone Mount,16339,Bangalore
206,Commuter,Evidence,Smartphone Mount,1416,Bangalore
207,Commuter,Battery Life,Smartphone Mount,1940,Delhi
208,Fitness/Recreational,Social Sharing,Mid-range Action Cam,19626,Pune
209,Commuter,Evidence,Smartphone Mount,3515,Bangalore
210,Commuter,Evidence,Smartphone Mount,1461,Tier-2 City
211,Fitness/Recreational,Scenery,Mid-range Action Cam,11228,Bangalore
212,Fitness/Recreational,Scenery,360 Cam,18761,Pune
213,Fitness/Recreational,Scenery,360 Cam,6177,Chennai
214,Commuter,Safety/Dashcam,Smartphone Mount,4899,Pune
215,Fitness/Recreational,Social Sharing,Smartphone Mount,19051,Delhi
216,Commuter,Battery Life,Smartphone Mount,2890,Chennai
217,Commuter,Evidence,Budget Action Cam,2911,Tier-2 City
218,Fitness/Recreational,Ease of Use,Mid-range Action Cam,13212,Mumbai
219,Fitness/Recreational,Ease of Use,Smartphone Mount,9431,Pune
220,Fitness/Recreational,Ease of Use,Smartphone Mount,11542,Delhi
221,Fitness/Recreational,Social Sharing,Mid-range Action Cam,9146,Tier-2 City
222,Fitness/Recreational,Ease of Use,Smartphone Mount,5140,Chennai
223,Commuter,Evidence,Smartphone Mount,1463,Tier-2 City
224,Commuter,Safety/Dashcam,Smartphone Mount,4110,Pune
225,Commuter,Safety/Dashcam,Budget Action Cam,605,Bangalore
226,Commuter,Evidence,Budget Action Cam,4516,Pune
227,Enthusiast/Pro,Data Overlay,High-end Action Cam,47992,Mumbai
228,Commuter,Evidence,Smartphone Mount,3679,Pune
229,Enthusiast/Pro,Image Quality,360 Cam,23654,Chennai
230,Fitness/Recreational,Ease of Use,Smartphone Mount,13105,Chennai
231,Fitness/Recreational,Social Sharing,Smartphone Mount,13227,Pune
232,Fitness/Recreational,Scenery,Mid-range Action Cam,14600,Chennai
233,Fitness/Recreational,Social Sharing,Mid-range Action Cam,16130,Bangalore
234,Commuter,Safety/Dashcam,Smartphone Mount,1800,Tier-2 City
235,Commuter,Evidence,Smartphone Mount,3597,Pune
236,Fitness/Recreational,Social Sharing,Mid-range Action Cam,18271,Bangalore
237,Commuter,Evidence,Smartphone Mount,3131,Tier-2 City
238,Commuter,Safety/Dashcam,Smartphone Mount,1816,Tier-2 City
239,Fitness/Recreational,Scenery,Mid-range Action Cam,8683,Bangalore
240,Commuter,Battery Life,Smartphone Mount,645,Delhi
241,Enthusiast/Pro,Stabilization,360 Cam,23040,Pune
242,Enthusiast/Pro,Stabilization,High-end Action Cam,46160,Tier-2 City
243,Enthusiast/Pro,Stabilization,360 Cam,49344,Tier-2 City
244,Commuter,Battery Life,Smartphone Mount,1161,Chennai
245,Commuter,Safety/Dashcam,Smartphone Mount,1487,Tier-2 City
246,Enthusiast/Pro,Stabilization,High-end Action Cam,45225,Bangalore
247,Commuter,Safety/Dashcam,Smartphone Mount,940,Tier-2 City
248,Enthusiast/Pro,Image Quality,High-end Action Cam,37727,Delhi
249,Enthusiast/Pro,Stabilization,High-end Action Cam,48305,Pune
250,Enthusiast/Pro,Stabilization,High-end Action Cam,43164,Pune
251,Commuter,Battery Life,Budget Action Cam,3851,Tier-2 City
252,Commuter,Evidence,Smartphone Mount,1741,Mumbai
253,Enthusiast/Pro,Image Quality,High-end Action Cam,45766,Mumbai
254,Commuter,Safety/Dashcam,Smartphone Mount,4948,Bangalore
255,Commuter,Battery Life,Smartphone Mount,2414,Mumbai
256,Fitness/Recreational,Scenery,Smartphone Mount,5707,Bangalore
257,Enthusiast/Pro,Data Overlay,High-end Action Cam,23713,Chennai
258,Fitness/Recreational,Social Sharing,Smartphone Mount,9255,Bangalore
259,Fitness/Recreational,Social Sharing,Smartphone Mount,6735,Mumbai
260,Commuter,Evidence,Smartphone Mount,2928,Tier-2 City
261,Fitness/Recreational,Scenery,Smartphone Mount,10249,Chennai
262,Enthusiast/Pro,Stabilization,High-end Action Cam,47237,Mumbai
263,Commuter,Safety/Dashcam,Budget Action Cam,1994,Bangalore
264,Fitness/Recreational,Scenery,Smartphone Mount,5661,Delhi
265,Enthusiast/Pro,Image Quality,Drone,30060,Pune
266,Fitness/Recreational,Social Sharing,Mid-range Action Cam,14208,Mumbai
267,Fitness/Recreational,Ease of Use,Mid-range Action Cam,7493,Bangalore
268,Fitness/Recreational,Scenery,Smartphone Mount,16151,Chennai
269,Commuter,Safety/Dashcam,Smartphone Mount,4219,Mumbai
270,Commuter,Battery Life,Budget Action Cam,736,Mumbai
271,Fitness/Recreational,Ease of Use,Smartphone Mount,17917,Pune
272,Fitness/Recreational,Social Sharing,Mid-range Action Cam,18559,Bangalore
273,Enthusiast/Pro,Data Overlay,360 Cam,20148,Delhi
274,Enthusiast/Pro,Image Quality,High-end Action Cam,49127,Chennai
275,Fitness/Recreational,Ease of Use,Mid-range Action Cam,6012,Bangalore
276,Fitness/Recreational,Scenery,Smartphone Mount,15748,Chennai
277,Fitness/Recreational,Scenery,Smartphone Mount,10782,Mumbai
278,Fitness/Recreational,Scenery,Smartphone Mount,7408,Pune
279,Fitness/Recreational,Social Sharing,Smartphone Mount,7496,Pune
280,Fitness/Recreational,Ease of Use,Mid-range Action Cam,14917,Tier-2 City
281,Enthusiast/Pro,Stabilization,Drone,24406,Delhi
282,Commuter,Evidence,Budget Action Cam,2690,Pune
283,Commuter,Evidence,Smartphone Mount,743,Mumbai
284,Commuter,Evidence,Smartphone Mount,1060,Delhi
285,Fitness/Recreational,Scenery,Mid-range Action Cam,10548,Bangalore
286,Commuter,Battery Life,Smartphone Mount,4573,Pune
287,Commuter,Evidence,Budget Action Cam,3638,Delhi
288,Fitness/Recreational,Ease of Use,Smartphone Mount,13264,Mumbai
289,Commuter,Battery Life,Smartphone Mount,4725,Tier-2 City
290,Fitness/Recreational,Ease of Use,Smartphone Mount,10907,Chennai
291,Commuter,Evidence,Smartphone Mount,2485,Chennai
292,Commuter,Safety/Dashcam,Smartphone Mount,4759,Mumbai
293,Fitness/Recreational,Ease of Use,Smartphone Mount,14325,Mumbai
294,Commuter,Evidence,Budget Action Cam,3446,Chennai
295,Commuter,Battery Life,Smartphone Mount,1548,Tier-2 City
296,Fitness/Recreational,Social Sharing,Smartphone Mount,7964,Delhi
297,Fitness/Recreational,Scenery,Mid-range Action Cam,18891,Chennai
298,Commuter,Safety/Dashcam,Smartphone Mount,4723,Mumbai
299,Fitness/Recreational,Social Sharing,360 Cam,16795,Pune
